LED #,LED PWM (%),LED current (%),Duration (s)
1,71.4,97.0,0.002
1,71.5,97.0,0.002
1,71.5,97.0,0.002
1,71.6,97.0,0.002
1,71.6,97.0,0.002
1,71.7,97.0,0.002
1,71.7,97.0,0.002
1,71.8,97.0,0.002
1,71.9,97.0,0.002
1,71.9,97.0,0.002
1,72.0,97.0,0.002
1,72.0,97.0,0.002
1,72.1,97.0,0.002
1,72.1,97.0,0.002
1,72.2,97.0,0.002
1,72.2,97.0,0.002
1,72.3,97.0,0.002
1,72.4,97.0,0.002
1,72.4,97.0,0.002
1,72.5,97.0,0.002
1,72.5,97.0,0.002
1,72.6,97.0,0.002
1,72.6,97.0,0.002
1,72.7,97.0,0.002
1,72.8,97.0,0.002
1,72.8,97.0,0.002
1,72.9,97.0,0.002
1,72.9,97.0,0.002
1,73.0,97.0,0.002
1,73.0,97.0,0.002
1,73.1,97.0,0.002
1,73.1,97.0,0.002
1,73.2,97.0,0.002
1,73.3,97.0,0.002
1,73.3,97.0,0.002
1,73.4,97.0,0.002
1,73.4,97.0,0.002
1,73.5,97.0,0.002
1,73.5,97.0,0.002
1,73.6,97.0,0.002
1,73.6,97.0,0.002
1,73.7,97.0,0.002
1,73.8,97.0,0.002
1,73.8,97.0,0.002
1,73.9,97.0,0.002
1,73.9,97.0,0.002
1,74.0,97.0,0.002
1,74.0,97.0,0.002
1,74.1,97.0,0.002
1,74.1,97.0,0.002
1,74.2,97.0,0.002
1,74.3,97.0,0.002
1,74.3,97.0,0.002
1,74.4,97.0,0.002
1,74.4,97.0,0.002
1,74.5,97.0,0.002
1,74.5,97.0,0.002
1,74.6,97.0,0.002
1,74.6,97.0,0.002
1,74.7,97.0,0.002
1,74.7,97.0,0.002
1,74.8,97.0,0.002
1,74.9,97.0,0.002
1,74.9,97.0,0.002
1,75.0,97.0,0.002
1,75.0,97.0,0.002
1,75.1,97.0,0.002
1,75.1,97.0,0.002
1,75.2,97.0,0.002
1,75.2,97.0,0.002
1,75.3,97.0,0.002
